,saison,episode,nbActeurParEp,nbEchangesParEp,nbMotsTotal,moyenneMotsParEchanges
47,03,01,8,228,2529,11.092105263157896
48,03,02,12,282,3084,10.936170212765957
49,03,03,10,234,2667,11.397435897435898
50,03,04,14,241,3081,12.784232365145229
51,03,05,11,279,2625,9.408602150537634
52,03,06,10,234,2401,10.260683760683762
53,03,07,14,207,2570,12.415458937198068
54,03,08,9,240,2764,11.516666666666667
55,03,09,10,293,2835,9.675767918088738
56,03,10,13,219,2759,12.598173515981735
57,03,11,11,273,2974,10.893772893772894
58,03,12,16,244,2736,11.21311475409836
59,03,13,11,267,2495,9.344569288389513
60,03,14,13,212,2751,12.976415094339623
61,03,15,12,252,2739,10.869047619047619
62,03,16,12,284,2972,10.464788732394366
63,03,17,9,295,3057,10.36271186440678
64,03,18,13,240,2867,11.945833333333333
65,03,19,13,239,2670,11.171548117154812
66,03,20,13,274,2749,10.032846715328468
67,03,21,9,332,2914,8.77710843373494
68,03,22,18,273,2639,9.666666666666666
69,03,23,12,246,2878,11.699186991869919
70,03,24,20,245,2897,11.824489795918367
71,04,01,8,202,2300,11.386138613861386
72,04,02,11,226,2466,10.91150442477876
73,04,03,10,232,2519,10.857758620689655
74,04,04,12,201,2250,11.194029850746269
75,04,05,11,237,2404,10.143459915611814
76,04,06,10,237,2609,11.0084388185654
77,04,07,9,237,2504,10.565400843881857
78,04,08,12,268,2877,10.735074626865671
79,04,09,11,258,2931,11.36046511627907
80,04,10,15,220,2830,12.863636363636363
81,04,11,16,212,2776,13.09433962264151
82,04,12,10,291,2509,8.621993127147766
83,04,13,9,255,2853,11.188235294117646
84,04,14,13,278,3040,10.93525179856115
85,04,15,13,245,2785,11.36734693877551
86,04,16,10,258,2541,9.848837209302326
87,04,17,12,253,2800,11.067193675889328
88,04,18,11,237,2764,11.662447257383967
89,04,19,10,273,2558,9.36996336996337
90,04,20,12,259,2348,9.065637065637066
91,04,21,11,239,2532,10.594142259414227
92,04,22,11,256,2853,11.14453125
93,04,23,17,449,5147,11.46325167037862
94,05,01,9,241,2438,10.116182572614107
95,05,02,10,244,2618,10.729508196721312
96,05,03,13,226,2342,10.36283185840708
97,05,04,12,217,2741,12.631336405529954
98,05,05,7,256,2522,9.8515625
99,05,06,10,230,2684,11.669565217391304
100,05,07,11,269,2534,9.420074349442379
101,05,08,14,225,2587,11.497777777777777
102,05,09,10,226,2565,11.349557522123893
103,05,10,12,261,2853,10.931034482758621
104,05,11,12,242,2476,10.231404958677686
105,05,12,12,255,2778,10.894117647058824
106,05,13,11,230,2634,11.452173913043477
107,05,14,7,265,2536,9.569811320754717
108,05,15,11,237,2879,12.147679324894515
109,05,16,15,270,2773,10.27037037037037
110,05,17,13,209,2597,12.425837320574162
111,05,18,14,281,2992,10.647686832740213
112,05,19,10,302,2814,9.317880794701987
113,05,20,8,257,2728,10.614785992217898
114,05,21,9,306,3192,10.431372549019608
115,05,22,11,322,3125,9.70496894409938
116,05,23,19,512,5057,9.876953125
117,06,01,11,252,2462,9.76984126984127
118,06,02,10,242,3028,12.512396694214877
119,06,03,8,246,3181,12.93089430894309
120,06,04,14,238,2641,11.096638655462185
121,06,05,11,236,3039,12.877118644067796
122,06,06,6,256,2890,11.2890625
123,06,07,7,246,2930,11.910569105691057
124,06,08,9,250,2784,11.136
125,06,09,9,230,2862,12.443478260869565
126,06,10,11,233,2651,11.377682403433477
127,06,11,8,289,2976,10.29757785467128
128,06,12,11,258,2965,11.492248062015504
129,06,13,12,260,2715,10.442307692307692
130,06,14,12,250,2986,11.944
131,06,15,17,521,5332,10.234165067178504
132,06,17,12,227,2393,10.541850220264317
133,06,18,12,269,2961,11.007434944237918
134,06,19,13,312,2954,9.467948717948717
135,06,20,10,236,2778,11.771186440677965
136,06,21,12,280,3137,11.20357142857143
137,06,22,12,258,2731,10.585271317829458
138,06,23,11,259,2916,11.258687258687258
139,06,24,18,529,5595,10.5765595463138
140,07,01,6,262,2727,10.408396946564885
141,07,02,7,212,2525,11.910377358490566
142,07,03,6,259,2876,11.104247104247104
143,07,04,13,267,2738,10.254681647940075
144,07,05,11,279,2789,9.99641577060932
145,07,06,8,253,2727,10.778656126482213
146,07,07,16,259,2614,10.092664092664092
147,07,08,8,255,2733,10.717647058823529
148,07,09,13,249,2545,10.220883534136545
149,07,10,11,249,2404,9.654618473895582
150,07,11,13,270,3047,11.285185185185185
